@relation 'matchadata-v2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute league {LCK,TCL,NAAc,EULCS,NALCS,LMS,CBLoL,LPL}
@attribute side {Blue,Red}
@attribute team {'Kingzone DragonX','KSV Esports','Kongdoo Monster',MVP,YouthCREW,'HWA Gaming','Afreeca Freecs','KT Rolster','SK Telecom T1','ROX Tigers','BBQ Olivers','Fenerbahce Esports','Dark Passage','Jin Air Green Wings','OpTic Academy','Team Liquid Academy','FlyQuest Academy','TSM Academy','CLG Academy','100 Thieves Academy','Golden Guardians Academy','Cloud9 Academy','Echo Fox Academy','Clutch Gaming Academy','G2 Esports',Misfits,H2K,Vitality,'Unicorns of Love','Giants Gaming',Roccat,'Schalke 04',Fnatic,Splyce,'Team Liquid','Team SoloMid','100 Thieves','OpTic Gaming','Clutch Gaming','Golden Guardians','Echo Fox',FlyQuest,'Counter Logic Gaming',Cloud9,'J Team','MAD Team','Hong Kong Attitude','AHQ e-Sports Club','INTZ e-Sports Club','Vivo Keyd','CNB e-Sports Club','KaBuM e-Sports','paiN Gaming','Team One e-Sports','Red Canids','ProGaming Esports',SuperMassive,'Royal Bandits e-sports',Galakticos,'Team AURORA','Team WE','Bilibili Gaming','Vici Gaming','Snake Esports','EDward Gaming','Funplus Phoenix',OMG,'Invictus Gaming','Royal Never Give Up','JD Gaming','LGD Gaming','Rogue Warriors','Topsports Gaming','Suning Gaming','Machi 17','Flash Wolves','Team Afro',G-Rex}
@attribute gamelength numeric
@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute teamdragkills numeric
@attribute elders numeric
@attribute herald numeric
@attribute teamtowerkills numeric
@attribute teambaronkills numeric
@attribute dmgtochamps numeric
@attribute wards numeric
@attribute totalgold numeric
@attribute earnedgpm numeric
@attribute cspm numeric
@attribute result {lose,win}

@data
EULCS,Red,'G2 Esports',43.65,10,11,23,2,0,?,4,0,106180,219,79318,1173.56701,37.090493,lose
NALCS,Red,'Counter Logic Gaming',31.2,6,20,8,0,0,1,2,0,63543,143,53065,1044.634615,34.775641,lose
NALCS,Red,'OpTic Gaming',62.65,8,11,21,3,0,?,7,3,90120,271,109138,1108.031923,33.439745,lose
NALCS,Blue,Cloud9,46.183333,17,26,41,2,0,1,5,1,124192,245,86517,1231.500541,35.965355,lose
NALCS,Red,'Team Liquid',46.25,5,13,17,3,1,0,5,1,75545,275,85617,1209.383784,37.643243,lose
NALCS,Blue,'Golden Guardians',47.783333,15,15,49,1,0,?,7,2,137276,256,82417,1083.967911,30.115103,lose
LPL,Blue,'Bilibili Gaming',37.05,9,13,28,0,?,?,1,?,?,?,65373,?,?,lose
LPL,Red,'Bilibili Gaming',38.933333,6,12,18,4,?,?,3,?,?,?,65805,?,?,lose
LPL,Red,'EDward Gaming',35.4,6,10,17,1,?,?,1,?,?,?,60884,?,?,lose
LPL,Red,OMG,35.4,7,13,5,0,?,?,3,?,?,?,59888,?,?,lose
LPL,Blue,OMG,41.883333,15,20,29,3,?,?,6,?,?,?,76295,?,?,lose
LPL,Red,'Team WE',35.466667,4,14,3,1,?,?,2,?,?,?,60238,?,?,lose
LPL,Red,'Funplus Phoenix',33.083333,9,13,28,0,?,?,2,?,?,?,53970,?,?,lose
LPL,Blue,'Funplus Phoenix',32.166667,6,13,13,3,?,?,4,?,?,?,55544,?,?,lose
LPL,Blue,'Topsports Gaming',36.616667,8,15,23,3,?,?,3,?,?,?,61171,?,?,lose
LPL,Red,'Topsports Gaming',34.833333,5,10,12,0,?,?,0,?,?,?,60069,?,?,lose
LPL,Blue,'Rogue Warriors',35.883333,7,19,15,0,?,?,2,?,?,?,64496,?,?,lose
LPL,Blue,'LGD Gaming',29.383333,3,12,6,0,?,?,1,?,?,?,50491,?,?,lose
LPL,Blue,'Rogue Warriors',29.45,9,19,19,1,?,?,3,?,?,?,48974,?,?,lose
LPL,Blue,'Vici Gaming',27.583333,1,14,2,0,?,?,1,?,?,?,44247,?,?,lose
LPL,Red,'Vici Gaming',32.966667,3,15,8,1,?,?,5,?,?,?,56943,?,?,lose
LPL,Blue,'Vici Gaming',31.7,1,11,2,0,?,?,2,?,?,?,51327,?,?,lose
LPL,Red,'Vici Gaming',31.166667,4,14,8,1,?,?,3,?,?,?,52183,?,?,lose
CBLoL,Red,'CNB e-Sports Club',37.066667,12,24,21,2,0,0,4,0,67539,155,64272,1084.780576,31.753597,lose
CBLoL,Blue,'CNB e-Sports Club',27.85,5,14,16,0,0,0,2,0,37804,104,44136,923.29623,32.998205,lose
CBLoL,Blue,'Team One e-Sports',27.75,3,11,7,0,0,?,1,0,47228,123,47400,1046.45045,38.162162,lose
CBLoL,Blue,'INTZ e-Sports Club',53.583333,29,17,72,1,1,1,7,2,128600,219,104440,1311.396579,32.939347,lose
CBLoL,Red,'INTZ e-Sports Club',35.2,5,13,10,1,0,1,0,0,64220,139,57649,986.607955,34.119318,lose
CBLoL,Blue,'Vivo Keyd',32.633333,1,9,1,0,0,1,1,0,56643,144,52489,954.220633,36.312564,lose
CBLoL,Red,'Vivo Keyd',28.55,4,15,9,2,0,0,3,0,38908,112,47523,1004.287215,34.605954,lose
CBLoL,Red,'paiN Gaming',33.066667,5,15,16,1,0,0,1,0,42835,153,53554,965.903226,35.564516,lose
CBLoL,Red,'KaBuM e-Sports',33.966667,1,11,1,1,0,1,4,1,43314,146,58779,1077.921492,38.42002,lose
CBLoL,Red,'paiN Gaming',29.933333,1,7,1,0,0,0,1,0,18538,120,47908,942.454343,37.817372,lose
TCL,Red,'Dark Passage',32.966667,7,10,26,1,0,0,2,1,60074,178,57377,1086.655207,37.128413,lose
TCL,Blue,YouthCREW,34.016667,1,9,2,0,0,?,1,0,50112,147,54301,943.796178,37.393435,lose
TCL,Blue,Galakticos,29.366667,6,10,16,0,0,0,0,0,47243,112,47425,956.00227,35.005675,lose
TCL,Red,'HWA Gaming',32.116667,8,18,23,0,0,0,2,0,55146,136,54058,1028.26985,34.903996,lose
TCL,Blue,'Fenerbahce Esports',31.633333,7,13,17,0,0,0,2,0,52574,129,52547,1005.565859,36.132771,lose
TCL,Red,'HWA Gaming',30.283333,3,8,7,0,0,0,1,0,34758,156,49404,973.888828,36.521739,lose
TCL,Blue,'Dark Passage',36.883333,3,8,7,1,0,1,2,0,33268,145,63280,1066.319024,39.584275,lose
TCL,Blue,'Team AURORA',32.366667,9,16,28,2,0,1,3,0,68609,113,58124,1141.223481,37.909372,lose
TCL,Blue,'HWA Gaming',29.116667,8,15,18,0,0,?,1,0,54113,126,47595,975.30395,33.898111,lose
TCL,Blue,YouthCREW,31.283333,0,9,0,2,0,0,0,0,31620,116,49580,928.820458,39.126265,lose
TCL,Red,'Dark Passage',31.116667,5,19,7,1,0,0,1,0,35941,144,50463,965.450455,34.193894,lose
TCL,Red,Galakticos,45.75,8,16,15,0,0,0,6,1,111298,217,78939,1083.322404,32,lose
TCL,Blue,'Team AURORA',35.65,3,12,6,0,0,1,0,0,51691,177,55528,906.934081,35.45582,lose
TCL,Blue,YouthCREW,33.766667,7,16,18,0,0,?,4,0,55562,151,58182,1070.25074,35.034551,lose
TCL,Blue,Galakticos,38.5,8,18,22,2,0,0,5,2,81434,185,70159,1174.519481,35.844156,lose
NALCS,Red,'Team SoloMid',55.7,16,24,38,3,1,1,10,2,180634,247,104997,1248.305206,31.705566,lose
NALCS,Red,'100 Thieves',40.666667,7,16,16,1,0,0,0,0,80261,192,66826,997.377049,36.516393,lose
NALCS,Red,FlyQuest,38.3,7,16,20,1,0,0,3,0,58268,176,63562,1011.603133,34.5953,lose
NALCS,Blue,'Golden Guardians',42.583333,6,14,21,2,0,1,5,1,99700,207,77162,1167.663405,35.577299,lose
NALCS,Red,'Clutch Gaming',27.616667,2,12,2,0,0,1,2,0,26113,111,47110,1043.956548,39.50513,lose
LCK,Red,'Jin Air Green Wings',43.716667,5,12,4,1,0,1,5,0,65952,249,79311,1170.68395,40.396493,lose
LCK,Blue,'Jin Air Green Wings',41.316667,15,8,37,4,0,1,9,0,80529,223,86679,1452.566357,44.41307,lose
LCK,Blue,MVP,31.05,7,12,12,1,0,?,0,0,55742,133,53674,1072.251208,38.003221,lose
LCK,Red,MVP,23.8,3,22,3,0,0,?,0,0,37715,111,36985,884.092437,33.613445,lose
LMS,Blue,'Machi 17',38.55,4,17,4,0,0,1,5,0,76063,179,66933,1088.518807,36.653697,lose
LMS,Blue,'Hong Kong Attitude',31.733333,3,13,4,1,0,1,2,0,45876,141,53760,1038.693277,38.665966,lose
LMS,Blue,'Hong Kong Attitude',38.966667,4,13,9,1,0,0,3,0,57999,183,65200,1025.86142,34.311377,lose
LMS,Red,'Team Afro',33.9,0,8,0,0,0,?,1,0,43258,166,51679,871.80531,34.513274,lose
LMS,Red,'Flash Wolves',44.75,9,14,19,3,1,1,7,2,91216,208,82398,1198.502793,35.150838,lose
LMS,Red,'Team Afro',27.683333,4,16,5,0,0,?,2,0,31435,135,44357,940.522577,34.208308,lose
LMS,Red,'Hong Kong Attitude',42.566667,10,9,28,2,0,?,2,1,62441,222,74558,1107.185591,36.977291,lose
LMS,Red,'Hong Kong Attitude',30.8,1,13,1,0,0,0,1,0,35999,149,47598,888.649351,35.974026,lose
LMS,Blue,'Team Afro',41.716667,2,14,2,0,0,?,2,0,82389,246,68048,986.162205,34.974031,lose
LMS,Red,'Team Afro',34.233333,7,11,16,1,0,0,2,0,44410,163,55440,967.221032,34.206426,lose
LMS,Blue,'AHQ e-Sports Club',40.516667,3,16,6,1,1,1,1,0,65321,189,66453,994.129165,36.182641,lose
LMS,Blue,'AHQ e-Sports Club',34.916667,2,11,2,0,0,0,5,1,46505,145,62417,1136.133652,38.806683,lose
LMS,Red,'MAD Team',35.666667,1,7,3,1,0,0,1,0,53856,166,57085,949.878505,33.785047,lose
LMS,Blue,'MAD Team',34.916667,9,14,16,1,0,0,4,1,47526,131,60258,1074.300716,32.534606,lose
TCL,Blue,'HWA Gaming',38.033333,5,16,13,1,0,0,2,0,51425,150,62001,981.943909,33.47064,lose
TCL,Red,Galakticos,24.066667,1,8,4,0,0,0,0,0,31117,70,35778,817.362881,31.412742,lose
TCL,Blue,'Team AURORA',26.366667,3,11,7,0,0,0,0,0,37163,107,40313,864.675095,33.982301,lose
TCL,Red,'HWA Gaming',35.5,5,14,16,0,0,0,1,0,53768,149,58455,995.802817,35.830986,lose
TCL,Blue,YouthCREW,43.4,3,12,7,1,0,?,0,0,70809,175,69254,951.963134,36.40553,lose
LCK,Blue,MVP,28.466667,5,12,11,0,0,1,2,0,34616,104,49121,1065.154567,39.203747,lose
LCK,Red,MVP,38.166667,9,6,22,4,0,1,6,0,82610,197,71189,1217.10917,38.69869,lose
LCK,Blue,'Kongdoo Monster',40.016667,1,18,1,3,0,0,0,1,34983,181,66413,1013.197834,38.733861,lose
LCK,Red,'Kongdoo Monster',43.15,5,11,11,0,0,0,2,0,67666,211,75851,1113.909618,39.513326,lose
LCK,Red,'ROX Tigers',44.783333,5,11,10,1,0,0,2,0,62268,244,80734,1159.998511,42.426498,lose
LCK,Blue,'ROX Tigers',27.4,3,15,5,0,0,0,0,0,31412,104,45047,981.759124,35.364964,lose
LCK,Red,'BBQ Olivers',37.966667,3,6,8,0,0,0,1,0,51685,223,67935,1141.037752,39.350307,lose
LCK,Blue,'BBQ Olivers',33.583333,2,9,6,0,0,1,2,0,47642,152,57424,1056.863524,38.471464,lose
LCK,Red,'Jin Air Green Wings',42,11,14,30,1,0,1,5,0,81400,242,76458,1175.619048,38.357143,lose
LCK,Blue,'Jin Air Green Wings',32.883333,6,15,17,0,0,0,0,0,41704,130,54874,1014.842372,35.641156,lose
LCK,Red,'SK Telecom T1',35.183333,8,14,24,1,0,0,1,0,79552,202,59770,1047.649455,37.546187,lose
LCK,Red,MVP,43.2,1,12,2,3,0,1,3,0,77929,263,75721,1108.902778,41.458333,lose
LCK,Red,'SK Telecom T1',50.783333,6,10,9,1,1,0,3,0,118514,282,86864,1071.347555,35.83853,lose
NAAc,Blue,'Echo Fox Academy',36.366667,3,12,5,3,0,1,4,1,60328,171,59985,999.558203,34.56462,lose
NAAc,Red,'100 Thieves Academy',30.733333,4,12,10,0,0,0,2,0,42056,102,47517,889.26898,34.067245,lose
NAAc,Blue,'Golden Guardians Academy',20.1,5,19,11,0,0,0,1,0,28235,64,31949,908.945274,32.238806,lose
NAAc,Red,'Cloud9 Academy',45.916667,12,19,35,3,1,0,3,1,83421,194,75718,1007.019964,31.666062,lose
NAAc,Blue,'CLG Academy',32.166667,2,17,2,2,0,1,3,1,53830,115,48428,850.694301,31.740933,lose
NAAc,Red,'CLG Academy',52.6,15,15,33,3,1,1,5,1,119273,211,93424,1137.923954,34.809886,lose
NAAc,Red,'OpTic Academy',37.433333,8,12,17,1,0,0,2,1,73323,136,61417,991.891362,32.804987,lose
NAAc,Blue,'Clutch Gaming Academy',39.516667,11,14,31,0,0,1,1,0,80197,165,62122,925.174188,32.872206,lose
NAAc,Blue,'FlyQuest Academy',46.066667,14,15,35,1,0,1,11,2,84340,250,84868,1200.373372,33.53835,lose
NAAc,Red,'Golden Guardians Academy',32.133333,1,11,3,0,0,0,1,0,35308,128,48568,856.568465,34.917012,lose
EULCS,Red,H2K,35.1,3,9,8,0,0,0,3,0,59752,169,54848,911.361823,35.498576,lose
EULCS,Red,Roccat,39.15,9,16,23,1,0,1,4,0,68534,231,65442,1024.372925,35.708812,lose
EULCS,Blue,'Schalke 04',35.716667,8,9,23,1,0,0,1,0,76323,164,59634,1019.059263,36.90154,lose
EULCS,Red,Splyce,42.516667,2,7,4,0,0,0,4,1,61719,168,67194,936.004704,34.221874,lose
EULCS,Blue,Fnatic,64.433333,9,19,22,3,2,1,9,2,136564,250,110430,1080.478013,31.334713,lose
LCK,Red,'Kongdoo Monster',31.583333,2,8,3,0,0,0,0,0,28524,134,48427,877.6781,36,lose
LCK,Blue,'Kongdoo Monster',30.9,6,14,8,0,0,?,0,0,38982,159,51272,1002.692557,36.148867,lose
LCK,Blue,'KSV Esports',39.9,6,13,14,4,0,0,2,0,63586,230,70259,1114.340852,39.273183,lose
LCK,Blue,'BBQ Olivers',48.083333,15,16,35,1,0,1,9,2,117565,274,94047,1315.258232,34.689775,lose
LCK,Red,'BBQ Olivers',40.933333,9,11,21,2,0,1,3,1,62739,247,76963,1234.539088,37.79316,lose
EULCS,Blue,'Unicorns of Love',29.9,5,8,7,0,0,0,2,0,40519,104,47310,924.187291,35.886288,lose
EULCS,Red,'Giants Gaming',36.316667,9,22,20,4,0,1,5,0,84314,161,59013,975.012391,30.399266,lose
EULCS,Blue,Roccat,39.833333,3,17,5,0,0,1,2,0,64078,187,64514,973.004184,37.405858,lose
EULCS,Blue,H2K,32.533333,1,9,3,0,0,1,2,0,40015,135,50594,900.786885,34.579918,lose
EULCS,Blue,Misfits,52.483333,14,10,28,4,1,1,7,1,109031,226,97363,1216.866307,38.697999,lose
NALCS,Red,'Echo Fox',39.55,9,13,20,1,0,1,4,1,82151,155,68426,1083.271808,34.48799,lose
NALCS,Red,'OpTic Gaming',35.966667,5,12,12,1,0,0,1,0,56211,159,54525,865.673772,33.781279,lose
NALCS,Blue,'Clutch Gaming',48.2,8,8,22,1,1,0,7,1,92955,231,83594,1093.726141,36.161826,lose
NALCS,Blue,FlyQuest,27.566667,3,17,8,0,0,0,0,0,41988,116,41511,843.852479,33.11971,lose
NALCS,Red,'Golden Guardians',32.516667,0,8,0,0,0,0,2,0,31389,128,51412,926.718606,37.519221,lose
NALCS,Red,'OpTic Gaming',40.75,7,16,19,1,0,0,0,1,66498,188,62415,885.840491,31.92638,lose
NALCS,Blue,'100 Thieves',41.166667,5,13,12,0,0,1,4,0,60752,173,67716,999.449393,34.688259,lose
NALCS,Blue,'Golden Guardians',26.466667,1,12,3,0,0,0,0,0,35123,128,39142,814.851385,35.100756,lose
NALCS,Blue,'Clutch Gaming',46.566667,7,7,16,2,0,0,2,0,123681,196,76824,1008.171797,36.335004,lose
NALCS,Red,FlyQuest,43.616667,7,16,16,1,0,?,3,0,107231,157,70046,962.352312,35.055407,lose
LCK,Blue,'ROX Tigers',33.783333,3,16,7,0,0,0,1,0,71640,160,54336,955.577701,36.319684,lose
LCK,Blue,'KT Rolster',32.3,10,17,25,2,0,?,3,0,47922,149,57206,1116.421053,36.965944,lose
LCK,Blue,'ROX Tigers',39.016667,6,11,15,1,0,1,5,0,77281,187,70850,1168.572405,37.829987,lose
LCK,Blue,'SK Telecom T1',42.433333,7,11,15,2,0,?,0,0,64374,251,71571,1042.194815,39.002357,lose
LCK,Red,'SK Telecom T1',38.583333,3,6,8,1,0,0,1,0,50409,197,66687,1080.673866,40.665227,lose
LMS,Red,'Machi 17',34.166667,3,13,8,1,0,0,2,0,55237,159,57661,1035.307317,37.756098,lose
LMS,Blue,'Machi 17',36.383333,3,8,6,2,0,?,2,0,59519,134,61394,1037.546496,38.891434,lose
LMS,Red,'AHQ e-Sports Club',46.65,5,15,16,0,0,?,3,1,97069,208,79800,1069.071811,35.412647,lose
LMS,Red,'MAD Team',44.916667,3,7,7,2,0,0,2,0,55153,254,76146,1052.593692,37.87013,lose
LMS,Red,'AHQ e-Sports Club',36.983333,7,20,19,0,0,1,3,1,82421,189,65823,1130.541685,36.529968,lose
LMS,Blue,'J Team',42.65,9,19,28,0,0,?,6,0,87423,147,75173,1118.24619,35.099648,lose
LMS,Red,'Team Afro',37.8,3,11,6,1,0,1,1,0,55154,190,61045,966.492063,36.534392,lose
LMS,Red,'Team Afro',44.183333,14,16,38,0,0,0,3,0,135729,210,77310,1106.566579,35.149,lose
LMS,Red,'Machi 17',47.266667,8,13,11,3,0,1,4,0,92543,214,81343,1079.784203,36.748942,lose
LMS,Blue,'Machi 17',55.033333,13,13,29,0,0,1,2,0,142054,275,96911,1123.911569,36.686856,lose
LMS,Red,'Hong Kong Attitude',24.683333,3,11,4,1,0,0,0,0,22283,98,39533,933.779878,36.988521,lose
LMS,Red,'Hong Kong Attitude',28.516667,6,13,15,1,0,?,1,0,52265,135,47682,1011.752192,33.874927,lose
LMS,Red,G-Rex,35.8,3,13,8,0,0,0,1,0,52413,159,58314,978.391061,37.681564,lose
LMS,Blue,G-Rex,34.833333,6,13,20,1,0,1,4,0,41393,162,59429,1054.535885,35.942584,lose
TCL,Blue,'Royal Bandits e-sports',27.983333,9,12,24,0,0,0,2,0,35686,109,46091,985.843955,34.02025,lose
TCL,Blue,Galakticos,27.916667,6,16,13,2,0,0,3,1,34737,92,45997,986.292537,32.632836,lose
TCL,Red,'Team AURORA',37.2,11,20,29,1,0,1,5,0,80447,156,61772,1011.494624,33.064516,lose
TCL,Red,YouthCREW,36.633333,3,15,4,2,0,1,5,0,59289,147,58137,937.381256,34.313012,lose
TCL,Blue,'Royal Bandits e-sports',37.25,10,12,30,0,0,?,3,1,63880,114,60110,964.697987,31.489933,lose
TCL,Blue,Galakticos,25.616667,2,13,5,1,0,0,1,0,23408,97,37760,808.247235,32.088484,lose
TCL,Blue,'Dark Passage',25.35,3,10,7,0,0,0,2,0,22401,92,39269,882.714004,33.648915,lose
TCL,Red,'Fenerbahce Esports',32.15,13,15,38,1,0,0,2,0,52413,113,56976,1117.33126,34.74339,lose
TCL,Blue,'Fenerbahce Esports',28.95,4,10,9,1,0,0,1,0,28032,124,41988,790.763385,31.053541,lose
TCL,Blue,Galakticos,26.866667,4,17,4,0,0,0,1,0,40642,83,39800,818.099256,30.930521,lose
TCL,Blue,'Dark Passage',31.283333,7,12,17,2,0,1,3,0,51192,129,50270,950.876931,31.965903,lose
CBLoL,Red,'paiN Gaming',39.95,14,8,29,3,0,1,5,1,100549,185,69927,1103.869837,34.042553,lose
CBLoL,Red,'CNB e-Sports Club',38.05,10,13,29,1,0,?,4,0,83491,122,62247,987.710907,33.534823,lose
CBLoL,Red,'paiN Gaming',28.05,4,12,9,0,0,0,2,0,34689,107,45250,952.064171,35.472371,lose
CBLoL,Blue,'Team One e-Sports',40.7,4,17,6,3,1,0,3,0,65199,174,67766,1019.154791,37.346437,lose
CBLoL,Red,'Team One e-Sports',36.366667,10,26,25,1,0,0,1,0,77393,132,57535,932.188818,31.869844,lose
CBLoL,Red,'Red Canids',33,8,10,18,1,0,1,3,0,45132,146,54207,988.878788,34.242424,lose
CBLoL,Blue,'Red Canids',28,3,9,8,1,0,0,1,0,34579,109,41423,818.178571,33.035714,lose
CBLoL,Red,'INTZ e-Sports Club',42.416667,12,21,36,3,1,0,6,0,64290,226,74866,1120.526523,35.056974,lose
CBLoL,Blue,'INTZ e-Sports Club',31.316667,3,13,9,2,0,0,5,0,66841,140,50172,946.084087,33.688132,lose
LPL,Blue,'Funplus Phoenix',30.083333,4,18,7,1,?,?,1,?,?,?,48631,?,?,lose
LPL,Red,'Funplus Phoenix',29.2,3,14,4,2,?,?,2,?,?,?,47080,?,?,lose
LPL,Blue,'Bilibili Gaming',30.366667,2,11,2,0,?,?,3,?,?,?,51037,?,?,lose
LPL,Red,'Bilibili Gaming',30.616667,2,12,6,0,?,?,2,?,?,?,52567,?,?,lose
LPL,Red,'EDward Gaming',47.566667,7,15,20,3,?,?,10,?,?,?,88176,?,?,lose
LPL,Red,'Team WE',30.533333,3,9,9,0,?,?,0,?,?,?,48504,?,?,lose
LPL,Blue,'Team WE',28.716667,10,12,27,1,?,?,0,?,?,?,49480,?,?,lose
LPL,Red,'EDward Gaming',40.716667,10,15,26,4,?,?,3,?,?,?,69233,?,?,lose
LPL,Red,'Vici Gaming',29.566667,0,6,0,0,?,?,1,?,?,?,45724,?,?,lose
LPL,Blue,'Vici Gaming',26.35,2,11,5,0,?,?,2,?,?,?,43283,?,?,lose
LPL,Red,'Vici Gaming',38.816667,10,17,23,1,?,?,8,?,?,?,70039,?,?,lose
LPL,Blue,'Vici Gaming',28.216667,4,14,7,0,?,?,3,?,?,?,46412,?,?,lose
LPL,Red,'Invictus Gaming',42.033333,10,26,25,1,?,?,3,?,?,?,74258,?,?,lose
LPL,Red,'LGD Gaming',28.833333,13,19,33,2,?,?,0,?,?,?,51498,?,?,lose
LPL,Blue,'LGD Gaming',24.483333,5,19,13,0,?,?,0,?,?,?,37105,?,?,lose
LPL,Blue,'Suning Gaming',28.5,6,17,16,1,?,?,0,?,?,?,48152,?,?,lose
LPL,Blue,'Suning Gaming',42.15,20,16,42,1,?,?,6,?,?,?,81840,?,?,lose
LPL,Blue,'JD Gaming',32.016667,5,7,17,3,?,?,4,?,?,?,57294,?,?,lose
LPL,Blue,'JD Gaming',36.033333,7,11,12,1,?,?,2,?,?,?,62571,?,?,lose
LPL,Red,'Suning Gaming',34.1,3,9,3,0,?,?,1,?,?,?,58768,?,?,lose
LPL,Red,'JD Gaming',39.8,6,12,17,2,?,?,4,?,?,?,71044,?,?,lose
LPL,Red,'Suning Gaming',25.183333,0,17,0,0,?,?,0,?,?,?,37398,?,?,lose
LPL,Blue,'Royal Never Give Up',34.3,7,6,12,1,?,?,4,?,?,?,59928,?,?,lose
LPL,Blue,'Royal Never Give Up',31.3,6,17,16,0,?,?,1,?,?,?,50156,?,?,lose
LPL,Red,'Royal Never Give Up',31.666667,4,17,12,0,?,?,1,?,?,?,51242,?,?,lose
LPL,Red,'Royal Never Give Up',43.5,14,15,39,1,?,?,5,?,?,?,84624,?,?,lose
LPL,Red,OMG,32.716667,7,14,21,0,?,?,2,?,?,?,56256,?,?,lose
LPL,Red,'Snake Esports',30.4,7,15,13,1,?,?,2,?,?,?,52435,?,?,lose
LPL,Red,OMG,29.666667,3,11,7,0,?,?,2,?,?,?,48716,?,?,lose
LPL,Red,'LGD Gaming',41.6,6,13,11,0,?,?,5,?,?,?,75074,?,?,lose
LPL,Red,'Topsports Gaming',27.066667,3,8,3,1,?,?,5,?,?,?,46741,?,?,lose
LPL,Blue,'Topsports Gaming',33.433333,5,14,14,1,?,?,2,?,?,?,59534,?,?,lose
LPL,Red,'Vici Gaming',35.733333,7,20,18,0,?,?,1,?,?,?,61601,?,?,lose
LPL,Red,'Vici Gaming',30.05,8,24,17,1,?,?,2,?,?,?,50096,?,?,lose
LCK,Red,'KSV Esports',33.516667,7,13,15,2,0,0,2,0,54368,146,53896,954.921929,34.430632,lose
LCK,Red,'ROX Tigers',32.2,5,9,13,0,0,1,4,0,35563,163,53141,995.546584,33.043478,lose
LCK,Red,'KSV Esports',32.916667,1,13,1,2,0,0,2,0,46500,141,49185,840.364557,32.901266,lose
LCK,Blue,'Kongdoo Monster',51.333333,10,16,25,3,1,0,3,0,96193,279,86005,1036.577922,35.025974,lose
LCK,Red,'Kongdoo Monster',35.283333,6,14,10,0,0,?,0,0,43653,167,56635,954.093529,37.751535,lose
TCL,Red,'Fenerbahce Esports',38.633333,13,17,34,1,0,0,0,0,79230,188,63101,985.661777,33.805004,lose
LCK,Blue,'BBQ Olivers',36.8,5,13,11,1,0,1,2,0,57549,199,62033,1036.233696,39.211957,lose
LCK,Blue,'SK Telecom T1',74.033333,15,14,40,1,0,0,6,1,239076,378,139556,1254.429536,40.279154,lose
LCK,Blue,'BBQ Olivers',31.283333,6,8,9,0,0,0,2,0,39997,158,51859,1001.670751,37.591902,lose
LCK,Blue,'KT Rolster',32.083333,3,12,9,0,0,?,0,0,52809,171,51142,939.085714,35.501299,lose
LCK,Red,'KT Rolster',36.966667,7,18,15,2,0,?,2,0,61165,186,59880,970.560866,35.302074,lose
LCK,Red,MVP,35.416667,7,11,20,2,0,1,1,0,55878,142,60765,1064.809412,38.88,lose
LCK,Blue,MVP,30.95,2,13,3,1,0,0,0,0,30856,142,48266,902.959612,35.411955,lose
LCK,Red,'ROX Tigers',35.883333,2,16,4,3,0,1,4,2,60834,182,60375,1032.133767,35.253135,lose
NAAc,Red,'Golden Guardians Academy',24.216667,6,14,9,1,0,0,1,0,39625,78,35929,814.744666,29.938059,lose
LCK,Red,'Jin Air Green Wings',49.9,6,12,17,2,1,0,3,1,139087,207,80328,970.164329,33.346693,lose
LCK,Blue,'Jin Air Green Wings',32.116667,10,13,24,2,0,0,2,0,62183,144,55862,1084.440062,36.865594,lose
LCK,Blue,'Jin Air Green Wings',47.866667,3,6,6,1,0,0,6,1,89765,264,82111,1074.622563,39.213092,lose
LCK,Red,'Jin Air Green Wings',42.033333,4,7,9,0,0,1,1,0,54657,218,69155,1000.458366,37.898493,lose
LCK,Blue,'BBQ Olivers',40.4,10,9,30,4,0,?,5,1,84486,159,71793,1130.945545,36.361386,lose
LCK,Red,'BBQ Olivers',23.75,1,7,2,1,0,1,0,0,28666,108,34399,778.357895,33.726316,lose
LCK,Red,'KSV Esports',28.533333,1,13,4,0,0,1,1,0,56132,138,44328,893.257009,35.78271,lose
LCK,Blue,'KSV Esports',35.5,3,12,8,3,0,0,1,0,80187,189,57039,955.915493,38.873239,lose
CBLoL,Blue,'ProGaming Esports',39.183333,6,16,16,1,0,0,4,0,88558,177,62244,941.364526,33.458103,lose
LCK,Blue,'Kongdoo Monster',35.65,4,16,9,0,0,0,2,0,68928,189,55512,906.485273,34.333801,lose
LCK,Red,'Kongdoo Monster',35.283333,3,13,9,2,0,1,2,0,51124,174,56116,939.384034,36.419461,lose
LMS,Blue,G-Rex,47.766667,9,14,23,2,0,1,8,2,97875,266,88983,1222.019539,38.039079,lose
LMS,Red,'Hong Kong Attitude',43.05,11,12,23,3,0,?,1,0,83669,204,72142,1031.763066,35.354239,lose
LMS,Red,'Hong Kong Attitude',28.383333,5,16,9,1,0,0,0,0,50901,106,43039,855.798004,32.44862,lose
LMS,Blue,'AHQ e-Sports Club',34.683333,0,6,0,1,0,1,2,1,40944,148,54856,929.89332,37.135992,lose
