@relation 'matchadata-v2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,6-weka.filters.unsupervised.attribute.Remove-R3'

@attribute league {LCK,TCL,NAAc,EULCS,NALCS,LMS,CBLoL,LPL}
@attribute side {Blue,Red}
@attribute team {'Kingzone DragonX','KSV Esports','Kongdoo Monster',MVP,YouthCREW,'HWA Gaming','Afreeca Freecs','KT Rolster','SK Telecom T1','ROX Tigers','BBQ Olivers','Fenerbahce Esports','Dark Passage','Jin Air Green Wings','OpTic Academy','Team Liquid Academy','FlyQuest Academy','TSM Academy','CLG Academy','100 Thieves Academy','Golden Guardians Academy','Cloud9 Academy','Echo Fox Academy','Clutch Gaming Academy','G2 Esports',Misfits,H2K,Vitality,'Unicorns of Love','Giants Gaming',Roccat,'Schalke 04',Fnatic,Splyce,'Team Liquid','Team SoloMid','100 Thieves','OpTic Gaming','Clutch Gaming','Golden Guardians','Echo Fox',FlyQuest,'Counter Logic Gaming',Cloud9,'J Team','MAD Team','Hong Kong Attitude','AHQ e-Sports Club','INTZ e-Sports Club','Vivo Keyd','CNB e-Sports Club','KaBuM e-Sports','paiN Gaming','Team One e-Sports','Red Canids','ProGaming Esports',SuperMassive,'Royal Bandits e-sports',Galakticos,'Team AURORA','Team WE','Bilibili Gaming','Vici Gaming','Snake Esports','EDward Gaming','Funplus Phoenix',OMG,'Invictus Gaming','Royal Never Give Up','JD Gaming','LGD Gaming','Rogue Warriors','Topsports Gaming','Suning Gaming','Machi 17','Flash Wolves','Team Afro',G-Rex}
@attribute gamelength numeric
@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute teamdragkills numeric
@attribute elders numeric
@attribute herald numeric
@attribute teamtowerkills numeric
@attribute teambaronkills numeric
@attribute dmgtochamps numeric
@attribute wards numeric
@attribute totalgold numeric
@attribute earnedgpm numeric
@attribute cspm numeric
@attribute result {lose,win}

@data
LCK,Red,MVP,37.066667,8,11,16,2,0,1,1,0,63685,176,59588,958.413669,35.125899,lose
LCK,Blue,MVP,59.966667,12,14,28,3,0,1,7,3,176306,289,114651,1276.93274,32.918288,lose
LCK,Blue,'Jin Air Green Wings',46.466667,7,15,13,2,0,1,4,0,92772,242,80919,1099.786227,37.682927,lose
LCK,Blue,'SK Telecom T1',52.2,14,18,36,3,1,0,7,2,123255,298,99891,1275.222222,38.065134,lose
LCK,Red,'SK Telecom T1',94.666667,8,16,27,7,5,0,11,6,180123,471,174571,1217.503521,30.961268,lose
NALCS,Red,'Team SoloMid',28.116667,1,11,2,2,0,0,2,0,27569,95,47020,1011.307647,39.122703,lose
NALCS,Red,'OpTic Gaming',64.55,7,9,17,1,1,1,7,2,187337,300,114382,1138.642912,32.223083,lose
NALCS,Red,'Golden Guardians',39.05,2,7,7,1,0,0,0,0,40670,195,65824,1038.345711,39.231754,lose
NALCS,Red,FlyQuest,29.05,2,15,7,1,0,0,0,0,38835,119,45725,914.574871,35.146299,lose
NALCS,Blue,'Counter Logic Gaming',34.6,8,12,19,1,0,?,3,0,55584,153,59235,1060.16763,36.184971,lose
NALCS,Blue,'OpTic Gaming',36.8,6,13,15,2,0,?,2,0,46005,206,60290,988.869565,34.945652,lose
NALCS,Red,'Team SoloMid',50.516667,9,14,23,3,1,0,4,0,112713,237,91805,1178.04289,36.641372,lose
NALCS,Red,'Counter Logic Gaming',34.983333,3,14,9,0,0,?,1,0,56134,154,55690,940.510719,33.015722,lose
NALCS,Blue,'Golden Guardians',38.283333,9,16,16,0,0,1,2,0,91109,181,65321,1058.256857,34.976056,lose
NALCS,Red,'Clutch Gaming',33,4,9,9,2,0,0,1,0,52608,152,53435,965.484848,36.060606,lose
LMS,Red,'MAD Team',28.416667,1,8,1,0,0,0,0,0,25008,139,43163,858.439883,34.944282,lose
LMS,Red,'J Team',31.016667,6,21,20,1,0,0,1,0,51639,145,53602,1071.739925,34.85223,lose
LMS,Red,'MAD Team',34.216667,5,16,14,2,0,?,2,0,66803,153,55308,964.132489,33.258646,lose
LMS,Blue,'Hong Kong Attitude',39.416667,9,15,19,1,0,1,2,0,81153,195,67455,1064.372093,34.173362,lose
LMS,Red,'Hong Kong Attitude',37.116667,6,16,10,2,0,0,2,0,79407,183,63661,1066.033229,37.287831,lose
CBLoL,Blue,'INTZ e-Sports Club',35.8,7,19,21,0,0,?,5,0,63453,172,60597,1042.162011,32.793296,lose
CBLoL,Red,'INTZ e-Sports Club',28.7,2,15,2,0,0,?,0,0,36924,150,43126,842.634146,33.275261,lose
CBLoL,Blue,'CNB e-Sports Club',32.25,9,12,20,2,0,1,3,0,77637,141,51888,954.20155,31.751938,lose
CBLoL,Red,'CNB e-Sports Club',30.65,5,11,13,0,0,0,1,0,36645,144,48380,921.507341,33.474715,lose
CBLoL,Red,'Team One e-Sports',46.15,6,16,19,5,0,1,2,0,103690,225,80048,1092.658722,35.297942,lose
CBLoL,Blue,'Team One e-Sports',34.033333,7,11,21,1,0,0,2,0,61499,119,59759,1103.406464,36.904995,lose
CBLoL,Red,'ProGaming Esports',30.783333,0,9,0,0,0,0,1,0,43493,170,49513,951.670817,37.000541,lose
CBLoL,Red,'Red Canids',34.483333,3,15,8,1,0,?,1,0,55039,126,56790,994.921218,35.524408,lose
CBLoL,Red,'ProGaming Esports',44.066667,15,15,38,1,1,1,6,1,109854,229,76087,1083.363086,28.683812,lose
TCL,Blue,'Fenerbahce Esports',48.766667,16,15,37,3,0,1,6,2,93617,209,94891,1305.559809,36.971975,lose
TCL,Red,'Royal Bandits e-sports',33.816667,0,13,0,0,0,0,2,0,67475,138,53846,939.542632,33.090192,lose
TCL,Red,YouthCREW,39.25,8,17,19,3,0,0,5,2,59121,178,68165,1089.579618,31.592357,lose
TCL,Blue,'Team AURORA',36.95,2,13,7,0,0,0,1,0,36592,140,60745,994.684709,38.457375,lose
LCK,Blue,'Afreeca Freecs',37.366667,2,8,5,3,0,0,1,0,51765,211,61726,1003.022302,36.984835,lose
LCK,Red,'Afreeca Freecs',36.75,6,14,14,0,0,0,1,0,53977,223,59640,973.360544,34.585034,lose
LCK,Red,'ROX Tigers',35.333333,3,12,10,1,0,1,2,0,48586,182,59946,1045.584906,37.584906,lose
LCK,Red,'BBQ Olivers',50.2,9,9,26,3,1,0,8,3,103142,254,100283,1358.219124,37.669323,lose
LCK,Blue,'BBQ Olivers',34.25,3,14,8,1,0,1,3,0,54682,190,57777,1034.686131,38.364964,lose
LPL,Red,'Bilibili Gaming',26.966667,1,4,4,0,?,?,1,?,?,?,44016,?,?,lose
LPL,Red,'Team WE',24.883333,3,10,5,3,?,?,2,?,?,?,41861,?,?,lose
LPL,Red,'Team WE',42.933333,17,20,49,5,?,?,5,?,?,?,83160,?,?,lose
LPL,Red,'Vici Gaming',28.1,3,15,4,2,?,?,2,?,?,?,46671,?,?,lose
LPL,Red,'Vici Gaming',37.7,8,12,18,3,?,?,7,?,?,?,70944,?,?,lose
LPL,Red,'EDward Gaming',38.733333,8,14,18,2,?,?,2,?,?,?,63524,?,?,lose
LPL,Red,'EDward Gaming',33.583333,2,8,2,1,?,?,3,?,?,?,57960,?,?,lose
LPL,Blue,'Funplus Phoenix',57.183333,14,10,26,1,?,?,6,?,?,?,101911,?,?,lose
LPL,Blue,'Funplus Phoenix',22.3,3,17,8,0,?,?,2,?,?,?,36339,?,?,lose
LPL,Red,'Funplus Phoenix',29.133333,2,18,4,1,?,?,2,?,?,?,48986,?,?,lose
LPL,Red,'Funplus Phoenix',36.383333,7,25,20,0,?,?,2,?,?,?,62740,?,?,lose
LPL,Red,'Snake Esports',37.816667,11,20,30,2,?,?,4,?,?,?,69890,?,?,lose
LPL,Red,'Funplus Phoenix',41.116667,15,19,29,4,?,?,6,?,?,?,78160,?,?,lose
LPL,Red,'Snake Esports',39.1,7,21,11,2,?,?,3,?,?,?,70723,?,?,lose
LPL,Red,'Royal Never Give Up',26.466667,4,12,13,0,?,?,0,?,?,?,40845,?,?,lose
LPL,Red,'Invictus Gaming',28,3,13,7,2,?,?,1,?,?,?,45438,?,?,lose
LPL,Blue,'Invictus Gaming',35.75,11,21,23,1,?,?,1,?,?,?,61096,?,?,lose
LPL,Red,'LGD Gaming',31.333333,0,7,0,0,?,?,0,?,?,?,49842,?,?,lose
